id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2438086945,24,8,4,1,4
2336888723,329,13,5,7,4
2564963212,102,92,4,0,1
2474210990,61,53,3,2,2
2486573779,24,15,4,2,3
2447123365,4,5,2,3,1
2404610772,176,196,1,0,1
2265431531,77,43,2,0,1
2354374131,1,15,2,1,1
2342137052,242,1,3,2,2
2419106029,22,6,2,2,2
2461167707,175,12,5,3,3
2291035708,97,222,2,1,1
2565399631,258,9,3,0,1
2332333882,17,9,5,2,5
2622011651,1,1,1,0,1
2374801945,39,25,2,1,1
2310085567,4,1,2,1,2
2613746056,2,1,1,0,1
2397521401,5,0,1,1,1
2449529010,71,5,2,1,1
2608720829,2,2,1,1,1
2536644442,6593,667,56,13,15
2556638049,271,21,14,2,9
2563038011,6,6,1,1,1
2555349840,6,31,1,0,1
2579613775,144,1,2,3,1
2511401891,431,0,9,4,8
2535114622,14,265,3,1,2
2321189660,595,1717,23,2,8
2283893488,67,1,6,1,4
2335781477,1,1,1,0,1
2280085971,439,101,35,2,15
2258009014,140,159,15,10,10
2561235138,32,14,2,1,2
2502585728,25,37,3,1,3
2425265175,30,30,6,0,6
2413604483,61,58,15,6,10
2304890620,2,1,2,0,2
2458036182,1,1,1,0,1
2522138250,18,5,5,0,1
2623753154,11,3,2,0,2
2501295276,5,3,4,2,4
2282524278,36,2,2,2,2
2373081516,3,0,1,2,1
2475122226,20802,17346,157,2,40
2518452739,7,1,1,1,1
2282620603,246,1,11,5,8
2400045608,198,6,5,8,5
2376517850,17,5,4,4,3
2441915356,0,796,8,2,4
2270242390,11,11,4,2,4
2541881850,154,14,4,2,3
2576376243,31,9,4,6,4
2448420848,12,28,3,3,3
2474037860,50,5,3,1,3
2611510009,1998,93,27,107,18
2331477264,54,49,16,2,6
2536926087,21,0,1,0,1
2367039735,2,2,1,1,1
2598029035,5,2,2,0,2
2367733725,12,7,4,0,4
2257483414,58,14,5,1,4
2510098763,147,4,11,1,7
2313919432,222,197,8,1,4
2493138598,20,4,4,1,4
2334613112,234,60,5,2,5
2525424596,96,0,3,3,2
2302989756,3,6,5,3,3
2377848136,12,12,2,1,2
2324257505,1,1,1,1,1
2310384131,757,171,26,1,9
2365708595,401,310,1,0,1
2381676482,3,3,1,3,1
2357992198,424,19,7,1,3
2291083332,36,124,15,4,8
2392320884,166,103,9,1,6
2260808914,15222,1255,116,5,20
2406044033,3,2,1,2,1
2576997128,78,0,2,3,2
2413510152,17,0,1,1,1
2324586321,768,79,7,12,3
2311282980,1298,60,14,8,10
2586062320,4277,3861,19,1,4
2277780262,46,10,3,1,3
2323663659,100,26,12,2,7
2362894262,38,0,2,1,2
2256824367,561,63,17,3,7
2256777953,1,1,1,1,1
2417999858,286,60,13,1,8
2484093464,1,1,1,2,1
2337931894,105,177,2,1,1
2497482463,2,4,2,1,2
2446951720,131,19,5,1,3
2388649158,60,2,2,0,2
2623376958,1,1,1,5,1
2301234632,973,1150,13,14,7
2267655498,44,29,5,1,4
2264761975,985,1150,7,8,4
2267246503,118,14,4,3,4
2479726380,3,0,1,2,1
2410551913,23,1,2,2,2
2441390805,313,83,12,4,8
2365420200,213,12,2,3,2
2487162712,185,371,14,2,6
2477662644,48,138,14,1,7
2556422707,24,24,18,0,14
2330573765,2562,332,54,2,17
2444284322,276,342,6,3,2
2515369336,2,1,1,1,1
2386571394,29,0,1,1,1
2485573141,1,1,1,3,1
2415094754,14,5,2,1,1
2425248848,1,1,1,3,1
2285256611,8753,3127,37,7,14
2441441760,1,1,1,2,1
2435440515,38,38,4,1,3
2531188783,6,15,1,1,1
2310395633,4461,2965,82,4,29
2265057581,11,3,1,1,1
2290942527,101,16,11,2,5
2605004856,37,0,1,1,1
2389454788,4,1,1,1,1
2365854601,475,465,59,10,27
2291140679,4,3,1,1,1
2320921015,16,0,1,1,1
2346412028,1,1,1,0,1
2574401833,27,1,2,6,2
2264977298,5,7,2,2,2
2404576547,39,3,1,1,1
2288707987,126,7,3,1,3
2273000433,235,80,2,1,2
2256956124,45,4,9,1,3
2542179694,46,6,5,2,4
2584152905,1,0,1,0,1
2379966597,220,209,25,2,6
2480882749,840,116,24,18,16
2272544172,2,2,1,1,1
2271758618,6959,3,30,7,17
2552265023,8,2,1,1,1
2303501996,8,2,1,1,1
2613893429,17,11,1,1,1
2518050995,92,14,3,8,3
2582648640,3,4,2,3,2
2489635620,13,1,5,1,5
2485101244,4,10,1,1,1
2422342261,8,8,4,1,3
2470068451,132,68,6,10,2
2612496721,57,30,5,17,2
2392735449,44,6,1,1,1
2351902309,8,2,2,0,2
2451901800,2,2,2,1,2
2392153085,210,1,3,8,3
2610072543,20,1,3,1,3
2591744265,1219,308,51,12,21
2482437141,19,5,3,1,3
2272408599,25,25,15,1,10
2409280210,6221,43,38,3,12
2589100605,67,0,3,2,3
2337064795,29,3,2,1,2
2447030473,80,78,15,4,8
2594042301,173,173,55,5,8
2556590402,26,2,3,1,3
2337838441,0,0,0,0,19
2551215671,30,0,1,1,1
2421118889,52,1,2,1,2
2480716143,37,4,7,1,4
2285323042,1,1,1,1,1
2377765035,4,3,2,1,2
2383562305,12,10,1,1,1
2535264718,106,0,4,5,3
2301578960,299,22,8,3,6
2293586912,232,0,5,1,1
2375197739,14,1,4,1,3
2619639653,121,99,3,1,2
2605745650,217,88,32,1,18
2386591400,33,0,1,1,1
2405947268,24,1,2,1,2
2355228298,6,4,2,4,2
2358393976,13,0,1,1,1
2540875484,28,28,1,1,1
2383782968,2647,278,52,2,13
2444116109,2,0,2,2,2
2494821963,102,2,4,1,4
2399669336,5,0,1,2,1
2377439525,2707,896,35,3,14
2340411739,5,0,1,1,1
2595735918,9,1,2,1,2
2288683642,46566,37655,32,1,16
2260748681,12,1,2,1,2
2327736958,39,2,4,5,4
2619468999,45,0,2,1,2
2256920866,124,118,6,1,6
2445688634,2,2,2,1,2
2427595507,623,130,16,2,15
2355823480,11,3,2,1,1
2507585900,20,146,5,1,4
2367371119,7,0,2,4,2
2308425047,57,2,2,1,2
2384564281,8,1,1,1,1
2415977644,77,91,4,1,3
2575092025,290,20,8,1,5
2390661465,23,26,4,1,3
2563532919,1,1,1,1,1
2432097538,185,132,16,18,8
2352309307,145,117,87,5,3
2382711843,109,106,9,4,5
2445814938,79,55,8,9,8
2270690275,6,6,6,1,5
2364247642,1,1,1,0,1
2527114426,30,1,1,3,1
2501448047,1331,722,30,2,12
2378535670,263,2462,10,3,8
2479017385,6,5,4,5,4
2484764326,1,1,1,1,1
2360037115,12,2,5,10,4
2291130401,2449,896,2,4,2
2611753535,2,1,1,0,1
2586452742,113,87,7,0,5
2276190602,1,22,1,2,1
2317522257,91,77,11,6,7
2479088081,2,2,1,1,1
2428769217,1,1,1,1,1
2341531996,11,10,1,2,1
2302830391,4,1,1,5,1
2611024831,4,1,3,2,2
2291668337,12,18,9,3,9
