type,Rating,GRS,CDI,SCR,ASR,SFI,ACE,ASI,PCD,sample,acc_rate,t_med,avg_comments,f_avg,avg_add,avg_del
chore,B-GOOD,0.75,0.35,0.08,0.4,0.2,0.75,0.69,23.82,723,0.68,0.8,2.28,23.08,1710.34,1270.22
perf,B-GOOD,0.65,0.73,0.1,0.36,0.0,0.49,0.75,34.0,242,0.49,0.25,1.76,15.83,531.52,581.77
style,B-GOOD,0.61,1.21,0.07,0.74,0.0,0.67,0.83,18.0,151,0.82,0.04,1.11,29.49,980.52,712.04
refactor,C-AVERAGE,0.59,1.02,0.12,0.51,0.01,0.89,0.62,37.82,1744,0.69,0.2,1.69,22.93,982.09,879.97
fix,C-AVERAGE,0.52,1.46,0.14,0.51,0.01,0.43,1.0,16.0,7718,0.66,0.12,1.51,12.75,947.68,645.04
feat,C-AVERAGE,0.51,1.86,0.09,0.62,0.0,0.12,0.58,34.0,12548,0.7,0.04,1.18,19.86,1802.11,848.62
build,C-AVERAGE,0.49,1.97,0.1,0.65,0.0,0.67,0.67,11.75,491,0.74,0.03,1.21,22.91,2968.8,2530.82
test,C-AVERAGE,0.49,1.97,0.11,0.68,0.0,0.01,0.67,34.5,2107,0.78,0.02,0.61,22.91,1735.67,348.16
docs,D-RISKY,0.46,2.49,0.07,0.76,0.0,0.15,1.0,18.0,3729,0.85,0.04,0.96,11.62,689.81,289.33
ci,E-CRITICAL,0.43,2.05,0.21,0.62,0.0,0.42,1.0,9.91,393,0.79,0.02,1.05,8.39,373.62,260.06
